SellerG,Regionname,Price_visualization
@Realty,Eastern Metropolitan,1650000.0
@Realty,Northern Metropolitan,1709000.0
Abercromby's,Northern Metropolitan,2655000.0
Abercromby's,Southern Metropolitan,26124000.0
Ace,Western Metropolitan,600000.0
Alexkarbon,Northern Metropolitan,15826590.0
Alexkarbon,Western Metropolitan,9624000.0
Allens,Eastern Metropolitan,1461400.0
Anderson,Southern Metropolitan,1353000.0
Appleby,Eastern Metropolitan,1640000.0
Aquire,South-Eastern Metropolitan,1056000.0
Area,South-Eastern Metropolitan,2289250.0
Ascend,Northern Metropolitan,1630100.0
Ascend,Southern Metropolitan,1750000.0
Ash,South-Eastern Metropolitan,1507250.0
Assisi,Southern Metropolitan,3360000.0
Australian,Northern Metropolitan,1012000.0
Australian,Southern Metropolitan,585000.0
Avion,Western Metropolitan,1635000.0
Barlow,Western Metropolitan,10773500.0
Barry,Eastern Metropolitan,206758089.0
Barry,Eastern Victoria,1938000.0
Barry,Northern Metropolitan,172005776.0
Barry,Northern Victoria,5434500.0
Barry,South-Eastern Metropolitan,28149250.0
Barry,Southern Metropolitan,22975000.0
Barry,Western Metropolitan,194372200.0
Bayside,Southern Metropolitan,2325000.0
Bekdon,South-Eastern Metropolitan,1050000.0
Bekdon,Southern Metropolitan,6038000.0
Beller,Southern Metropolitan,7182000.0
Bells,Western Metropolitan,17453000.0
Benlor,Western Metropolitan,574000.0
Besser,Southern Metropolitan,1225000.0
Biggin,Eastern Metropolitan,5150000.0
Biggin,Northern Metropolitan,93364000.0
Biggin,South-Eastern Metropolitan,2285000.0
Biggin,Southern Metropolitan,105026500.0
Biggin,Western Metropolitan,50987500.0
Boran,Northern Metropolitan,810000.0
Boutique,South-Eastern Metropolitan,1426800.0
Bowman,Eastern Victoria,510000.0
Bowman,South-Eastern Metropolitan,2350888.0
Brace,Northern Metropolitan,2000000.0
Brad,Northern Metropolitan,69413000.0
Brad,Western Metropolitan,112521700.0
Buckingham,Eastern Metropolitan,14128500.0
Buckingham,Northern Metropolitan,13741500.0
Buckingham,Northern Victoria,1150500.0
Buckingham,Southern Metropolitan,1405000.0
Bullen,Western Metropolitan,3201000.0
Burnham,Western Metropolitan,13534000.0
Burns,Western Metropolitan,552000.0
Buxton,Eastern Metropolitan,19284888.0
Buxton,South-Eastern Metropolitan,67248347.0
Buxton,Southern Metropolitan,441067750.0
Buxton/Advantage,Southern Metropolitan,550000.0
Buxton/Find,Southern Metropolitan,639000.0
C21,Eastern Victoria,4854000.0
C21,Northern Metropolitan,720000.0
C21,South-Eastern Metropolitan,12869000.0
C21,Southern Metropolitan,9034000.0
C21,Western Metropolitan,915000.0
Caine,Northern Metropolitan,9636000.0
Caine,Southern Metropolitan,4850000.0
Calder,Western Metropolitan,600000.0
Carter,Eastern Metropolitan,2938000.0
Castran,Northern Metropolitan,700000.0
Castran,Southern Metropolitan,16282000.0
Cayzer,Southern Metropolitan,34867000.0
Century,Northern Metropolitan,720000.0
Century,Southern Metropolitan,830000.0
Chambers,Northern Metropolitan,10775500.0
Chambers,Western Metropolitan,760000.0
Charlton,Southern Metropolitan,7685000.0
Charter,Western Metropolitan,855000.0
Chisholm,South-Eastern Metropolitan,2440000.0
Chisholm,Southern Metropolitan,43225750.0
Chisholm,Western Metropolitan,815000.0
Christopher,Southern Metropolitan,2948000.0
Clairmont,Western Metropolitan,865000.0
Collings,Eastern Metropolitan,1113000.0
Collins,Northern Metropolitan,47069000.0
Commercial,Western Metropolitan,620000.0
Compton,Western Metropolitan,1410600.0
Considine,Northern Metropolitan,1785500.0
Considine,Western Metropolitan,15291000.0
Crane,Northern Metropolitan,540000.0
Crane,Western Metropolitan,560000.0
D'Aprano,Northern Metropolitan,2161000.0
Daniel,Western Metropolitan,1803500.0
Darras,South-Eastern Metropolitan,1870000.0
Darren,Eastern Metropolitan,1005000.0
Darren,Northern Metropolitan,13151000.0
Del,South-Eastern Metropolitan,2160000.0
Dingle,Northern Metropolitan,2636000.0
Dingle,Southern Metropolitan,2553000.0
Dixon,Northern Metropolitan,1297000.0
Domain,South-Eastern Metropolitan,962500.0
Domain,Southern Metropolitan,375000.0
Douglas,Western Metropolitan,36935300.0
Edward,Northern Metropolitan,10559000.0
Edward,Southern Metropolitan,710000.0
Edward,Western Metropolitan,2205000.0
Eric,Northern Victoria,355000.0
Eview,Eastern Victoria,1412000.0
Eview,Northern Metropolitan,19724466.0
Eview,South-Eastern Metropolitan,5869000.0
Eview,Southern Metropolitan,1615000.0
Eview,Western Metropolitan,538000.0
FN,Eastern Victoria,490000.0
FN,Northern Metropolitan,1710000.0
FN,Northern Victoria,1548000.0
FN,Southern Metropolitan,1205000.0
FN,Western Metropolitan,5185000.0
FN,Western Victoria,695000.0
First,Northern Metropolitan,935000.0
First,Southern Metropolitan,1035000.0
First,Western Metropolitan,591000.0
Flannagan,Eastern Metropolitan,1655000.0
Fletchers,Eastern Metropolitan,94758500.0
Fletchers,Eastern Victoria,3431000.0
Fletchers,Northern Metropolitan,4724000.0
Fletchers,South-Eastern Metropolitan,1815000.0
Fletchers,Southern Metropolitan,158408500.0
Fletchers/One,Southern Metropolitan,1800000.0
Follett,Southern Metropolitan,1820000.0
Frank,Southern Metropolitan,4453000.0
Frank,Western Metropolitan,16641000.0
GL,Western Metropolitan,5506000.0
Galldon,Northern Metropolitan,1167000.0
Gardiner,Eastern Metropolitan,2426000.0
Garvey,Southern Metropolitan,3360000.0
Gary,South-Eastern Metropolitan,883300.0
Gary,Southern Metropolitan,104579000.0
Geoff,Southern Metropolitan,681000.0
Grantham,Northern Metropolitan,1290000.0
Greg,Northern Metropolitan,5358000.0
Greg,South-Eastern Metropolitan,5502500.0
Greg,Southern Metropolitan,123059500.0
Greg,Western Metropolitan,90129500.0
Gunn&Co,Western Metropolitan,6415000.0
H,Eastern Metropolitan,1435000.0
HAR,Eastern Metropolitan,1400000.0
HAR,Northern Metropolitan,36436000.0
HAR,Northern Victoria,1055000.0
HAR,South-Eastern Metropolitan,1710000.0
HAR,Southern Metropolitan,4865000.0
HAR,Western Metropolitan,5300700.0
HAR,Western Victoria,1957500.0
Hall,South-Eastern Metropolitan,9670000.0
Hall,Southern Metropolitan,835000.0
Harcourts,Eastern Metropolitan,37721500.0
Harcourts,Eastern Victoria,2335000.0
Harcourts,Northern Metropolitan,31236500.0
Harcourts,Northern Victoria,530000.0
Harcourts,South-Eastern Metropolitan,18927500.0
Harcourts,Southern Metropolitan,3080000.0
Harcourts,Western Metropolitan,3903500.0
Harrington,Northern Metropolitan,11709500.0
Harrington,Southern Metropolitan,900000.0
Haughton,Eastern Metropolitan,5406000.0
Haughton,Northern Metropolitan,2385000.0
Hayeswinckle,Western Metropolitan,390000.0
Hodges,Northern Metropolitan,4492000.0
Hodges,South-Eastern Metropolitan,7490000.0
Hodges,Southern Metropolitan,103529888.0
Hodges,Western Metropolitan,8351000.0
Holland,Eastern Metropolitan,1100000.0
Holland,Northern Metropolitan,2713500.0
Homes,Western Metropolitan,470000.0
Hoskins,Eastern Metropolitan,4153000.0
Hoskins,Eastern Victoria,911982.0
Hunter,Western Metropolitan,3536000.0
Iconek,Northern Metropolitan,6607000.0
J,Northern Metropolitan,1285000.0
J,Southern Metropolitan,5214000.0
JMRE,Northern Metropolitan,1910000.0
JRW,Eastern Metropolitan,1330000.0
Jas,Western Metropolitan,147775600.0
Jason,Northern Metropolitan,4173500.0
Jason,Western Metropolitan,4922000.0
Jellis,Eastern Metropolitan,165196266.0
Jellis,Northern Metropolitan,344794341.0
Jellis,South-Eastern Metropolitan,1005800.0
Jellis,Southern Metropolitan,674933457.0
Jellis,Western Metropolitan,48810000.0
Johnston,Southern Metropolitan,960000.0
Joseph,Northern Metropolitan,1500000.0
Just,Eastern Victoria,480000.0
Justin,Eastern Metropolitan,1300000.0
Kay,Eastern Metropolitan,2335000.0
Kay,Northern Metropolitan,6792500.0
Kay,Southern Metropolitan,141522000.0
Kaye,Eastern Victoria,655000.0
Kelly,Northern Metropolitan,2400000.0
Ken,Northern Metropolitan,1242000.0
L,Western Metropolitan,367000.0
LITTLE,Northern Metropolitan,6451500.0
LITTLE,Southern Metropolitan,5246000.0
LITTLE,Western Metropolitan,790000.0
LJ,Eastern Metropolitan,720500.0
LJ,Eastern Victoria,1597000.0
LJ,Northern Metropolitan,7101500.0
LJ,South-Eastern Metropolitan,1760000.0
LJ,Western Metropolitan,8582500.0
LJH,South-Eastern Metropolitan,570000.0
LLC,Eastern Metropolitan,8889000.0
LLC,South-Eastern Metropolitan,1400000.0
Langwell,Northern Metropolitan,544000.0
Le,South-Eastern Metropolitan,2205000.0
Leading,Western Metropolitan,1135000.0
Leeburn,Western Metropolitan,911000.0
Leyton,South-Eastern Metropolitan,1336000.0
Lindellas,Eastern Metropolitan,8548000.0
Lindellas,Northern Metropolitan,1150000.0
Lindellas,Southern Metropolitan,7512500.0
Love,Eastern Metropolitan,994000.0
Love,Northern Metropolitan,47130000.0
Love,Northern Victoria,510000.0
Lucas,Southern Metropolitan,2450000.0
Luxton,Eastern Metropolitan,1300000.0
MICM,Northern Metropolitan,5762000.0
MICM,Southern Metropolitan,1563000.0
MICM,Western Metropolitan,2076760.0
Maddison,Western Metropolitan,2530000.0
Maitland,South-Eastern Metropolitan,1270000.0
Mandy,Eastern Metropolitan,751000.0
Mandy,Southern Metropolitan,4896000.0
Marshall,Eastern Metropolitan,10785000.0
Marshall,Northern Metropolitan,10630000.0
Marshall,Southern Metropolitan,855409638.0
Mason,Eastern Metropolitan,1240000.0
Mason,Northern Victoria,2727000.0
Matthew,Southern Metropolitan,2210000.0
Max,Eastern Metropolitan,1923000.0
Max,Eastern Victoria,1492000.0
McDonald,Northern Metropolitan,3747500.0
McDonald,Northern Victoria,540000.0
McDonald,Western Metropolitan,28707500.0
McGrath,Eastern Metropolitan,32893000.0
McGrath,Eastern Victoria,1605000.0
McGrath,Northern Metropolitan,59831000.0
McGrath,Northern Victoria,650000.0
McGrath,South-Eastern Metropolitan,970000.0
McGrath,Southern Metropolitan,43681000.0
McGrath,Western Metropolitan,4478500.0
McGrath/First,Eastern Metropolitan,1000000.0
McGrath/Langwell,Southern Metropolitan,1310000.0
McLennan,South-Eastern Metropolitan,1711000.0
McNaughton,Western Metropolitan,510000.0
Melbourne,Northern Metropolitan,2901500.0
Melbourne,Southern Metropolitan,4200000.0
Melbourne,Western Metropolitan,615000.0
Miles,Eastern Metropolitan,107590000.0
Miles,Northern Metropolitan,7311888.0
Millership,Northern Metropolitan,4958050.0
Millership,Northern Victoria,670000.0
Mitchell,South-Eastern Metropolitan,760000.0
Moonee,Western Metropolitan,13939500.0
Morleys,Southern Metropolitan,1518000.0
Morrison,Eastern Metropolitan,14939000.0
Morrison,Northern Metropolitan,9875000.0
Morrison,Northern Victoria,4175000.0
Morrison,Southern Metropolitan,1700000.0
Munn,South-Eastern Metropolitan,510000.0
Naison,Western Metropolitan,1003000.0
Nardella,Northern Metropolitan,765000.0
Nelson,Eastern Metropolitan,68966250.0
Nelson,Northern Metropolitan,586830250.0
Nelson,South-Eastern Metropolitan,729500.0
Nelson,Southern Metropolitan,33375000.0
Nelson,Western Metropolitan,343348200.0
New,Northern Metropolitan,665000.0
Nicholson,Northern Metropolitan,4476000.0
Nick,Southern Metropolitan,45056000.0
Noel,Eastern Metropolitan,57526300.0
Noel,South-Eastern Metropolitan,1660000.0
Noel,Southern Metropolitan,90028500.0
O'Brien,Eastern Victoria,2736000.0
O'Brien,South-Eastern Metropolitan,25122508.0
O'Brien,Southern Metropolitan,11229000.0
O'Brien,Western Metropolitan,3305000.0
O'Donoghues,Southern Metropolitan,4018000.0
OBrien,Eastern Metropolitan,2300000.0
Oak,Western Metropolitan,380000.0
Obrien,South-Eastern Metropolitan,4306000.0
Obrien,Southern Metropolitan,1100000.0
One,Eastern Metropolitan,2686000.0
One,South-Eastern Metropolitan,1070000.0
One,Southern Metropolitan,4211000.0
One,Western Metropolitan,5195000.0
Only,South-Eastern Metropolitan,605000.0
Owen,Southern Metropolitan,895000.0
PRDNationwide,Northern Victoria,380000.0
PRDNationwide,Western Metropolitan,480000.0
PRDNationwide,Western Victoria,3565000.0
PSP,Western Metropolitan,531000.0
Pagan,Northern Metropolitan,2398000.0
Pagan,Western Metropolitan,2310000.0
Parkes,Eastern Metropolitan,1782000.0
Paul,Southern Metropolitan,1370000.0
Paul,Western Metropolitan,5755000.0
Peake,Eastern Victoria,920000.0
Peter,Northern Metropolitan,15070000.0
Peter,Southern Metropolitan,690000.0
Philip,Eastern Metropolitan,29619000.0
Philip,Southern Metropolitan,1670800.0
Point,Western Metropolitan,5335500.0
Pride,Southern Metropolitan,8003000.0
Prime,Western Metropolitan,650000.0
Private/Tiernan's,Southern Metropolitan,1880000.0
Prof.,Eastern Victoria,655000.0
Prof.,Western Metropolitan,6180500.0
Property,South-Eastern Metropolitan,800000.0
Property,Southern Metropolitan,656000.0
Prowse,Southern Metropolitan,690000.0
Purplebricks,Eastern Metropolitan,5128000.0
Purplebricks,Eastern Victoria,500000.0
Purplebricks,Northern Metropolitan,5160001.0
Purplebricks,South-Eastern Metropolitan,730000.0
Purplebricks,Southern Metropolitan,8480800.0
Purplebricks,Western Metropolitan,5201000.0
R&H,Northern Metropolitan,540000.0
R&H,Southern Metropolitan,560000.0
RE,Northern Metropolitan,4783100.0
RE,Western Metropolitan,780000.0
REMAX,South-Eastern Metropolitan,1691000.0
RT,Eastern Metropolitan,4255000.0
RT,Northern Metropolitan,2608000.0
RT,Northern Victoria,2290000.0
RT,South-Eastern Metropolitan,712500.0
RT,Southern Metropolitan,135980500.0
RT,Western Metropolitan,17622000.0
RW,Eastern Metropolitan,6713000.0
RW,Northern Metropolitan,32668200.0
RW,South-Eastern Metropolitan,1750000.0
RW,Southern Metropolitan,17470000.0
RW,Western Metropolitan,7850000.0
Raine,Northern Metropolitan,28567000.0
Raine,Northern Victoria,6669000.0
Raine,Western Metropolitan,37479000.0
Raine,Western Victoria,2052000.0
Raine&Horne,Western Metropolitan,2469000.0
Ray,Eastern Metropolitan,107244138.0
Ray,Eastern Victoria,2141000.0
Ray,Northern Metropolitan,150069250.0
Ray,Northern Victoria,2348000.0
Ray,South-Eastern Metropolitan,55598698.0
Ray,Southern Metropolitan,107213250.0
Ray,Western Metropolitan,16496000.0
Re,Northern Metropolitan,3924000.0
Re,Western Metropolitan,1170000.0
Real,Eastern Metropolitan,2102000.0
Red,Western Metropolitan,1500000.0
Redina,Western Metropolitan,510000.0
Reed,Southern Metropolitan,975000.0
Reliance,Northern Victoria,1126000.0
Reliance,Western Metropolitan,6640500.0
Reliance,Western Victoria,456000.0
Rendina,Northern Metropolitan,12439276.0
Rendina,Western Metropolitan,34159500.0
Rexhepi,South-Eastern Metropolitan,625000.0
Ristic,Northern Metropolitan,1060000.0
Rodney,Southern Metropolitan,7631000.0
Ross,Southern Metropolitan,530000.0
Rounds,Southern Metropolitan,365000.0
Rounds,Western Metropolitan,475000.0
Ryder,Western Victoria,4705000.0
S&L,Western Metropolitan,4106000.0
Sanctuary,Western Metropolitan,620000.0
Schroeder,Eastern Metropolitan,5403000.0
Scott,Southern Metropolitan,3790000.0
Sell,Eastern Metropolitan,630000.0
Skad,Northern Metropolitan,1619000.0
Sotheby's,Southern Metropolitan,8482500.0
Stockdale,Eastern Metropolitan,6667000.0
Stockdale,Eastern Victoria,1075000.0
Stockdale,Northern Metropolitan,56753727.0
Stockdale,South-Eastern Metropolitan,2109000.0
Stockdale,Southern Metropolitan,1745000.0
Stockdale,Western Metropolitan,5051000.0
Sweeney,Western Metropolitan,108678544.0
Sweeney/Advantage,Western Metropolitan,721000.0
TRUE,Western Metropolitan,451000.0
The,Northern Metropolitan,2368000.0
The,Southern Metropolitan,2700000.0
Thomson,South-Eastern Metropolitan,1120000.0
Thomson,Southern Metropolitan,14454000.0
Thomson,Western Metropolitan,817000.0
Tiernan's,Southern Metropolitan,1390000.0
Tim,Southern Metropolitan,4290000.0
Trimson,Northern Metropolitan,430000.0
Trimson,Western Metropolitan,1714000.0
Triwest,Western Metropolitan,1122000.0
U,South-Eastern Metropolitan,1333000.0
Upper,Eastern Metropolitan,2100000.0
Upside,South-Eastern Metropolitan,825000.0
VICPROP,Southern Metropolitan,2403000.0
VICProp,Eastern Metropolitan,3056000.0
VICProp,Southern Metropolitan,3812000.0
Veitch,South-Eastern Metropolitan,795000.0
Vic,Eastern Metropolitan,1100000.0
Victory,Eastern Metropolitan,590000.0
Village,Western Metropolitan,94159500.0
W.B.,Northern Metropolitan,3300000.0
WHITEFOX,Southern Metropolitan,1820000.0
Walsh,Southern Metropolitan,2310000.0
Walshe,Northern Metropolitan,8168500.0
Weast,Southern Metropolitan,3320000.0
Weston,Southern Metropolitan,540000.0
Westside,Western Metropolitan,520000.0
Whiting,Northern Metropolitan,1390000.0
Whiting,Southern Metropolitan,6385000.0
Whiting,Western Metropolitan,1360000.0
William,Eastern Metropolitan,4995500.0
William,Southern Metropolitan,580000.0
Williams,Southern Metropolitan,8549500.0
Williams,Western Metropolitan,62303000.0
Wilson,Southern Metropolitan,14046000.0
Win,Eastern Metropolitan,1527500.0
Win,Eastern Victoria,765000.0
Win,South-Eastern Metropolitan,4134000.0
Wood,Southern Metropolitan,370000.0
Woodards,Eastern Metropolitan,5312000.0
Woodards,Northern Metropolitan,58876134.0
Woodards,South-Eastern Metropolitan,6907500.0
Woodards,Southern Metropolitan,93507188.0
Woodards,Western Metropolitan,2545000.0
Wyndham,Western Metropolitan,1055500.0
YPA,Northern Metropolitan,41232500.0
YPA,Northern Victoria,1060000.0
YPA,Western Metropolitan,39626350.0
YPA,Western Victoria,1195000.0
Zahn,Eastern Metropolitan,1201000.0
buyMyplace,Eastern Metropolitan,940000.0
buyMyplace,Northern Metropolitan,1400000.0
buyMyplace,Southern Metropolitan,2800000.0
hockingstuart,Eastern Metropolitan,40754000.0
hockingstuart,Eastern Victoria,1527000.0
hockingstuart,Northern Metropolitan,126667450.0
hockingstuart,Northern Victoria,3922500.0
hockingstuart,South-Eastern Metropolitan,28069500.0
hockingstuart,Southern Metropolitan,366536698.0
hockingstuart,Western Metropolitan,82592600.0
hockingstuart,Western Victoria,4544000.0
hockingstuart/Advantage,Northern Metropolitan,330000.0
hockingstuart/Biggin,Western Metropolitan,755000.0
hockingstuart/Village,Western Metropolitan,345000.0
hockingstuart/hockingstuart,South-Eastern Metropolitan,2606000.0
iOne,Western Metropolitan,620000.0
iProperty,Eastern Metropolitan,820000.0
iSell,South-Eastern Metropolitan,5088500.0
iTRAK,Eastern Metropolitan,5957000.0
iTRAK,Eastern Victoria,1724000.0
iTRAK,Northern Metropolitan,495000.0
iTRAK,South-Eastern Metropolitan,910500.0
